id,funcionario_id,entidade_id,ativo,data_vinculo,data_desvinculo
1,1008,100,t,2026-02-10 03:34:31.346394,
2,1009,100,t,2026-02-10 03:34:31.346394,
3,1016,105,t,2026-02-10 12:33:30.10471,
4,1017,105,t,2026-02-10 12:33:30.10471,
5,1018,100,t,2026-02-11 00:59:46.425929,
6,1019,100,t,2026-02-11 00:59:46.425929,
7,1020,106,t,2026-02-11 01:04:34.424847,
8,1021,106,t,2026-02-11 01:04:34.424847,
9,1031,100,t,2026-02-12 22:05:45.799126,
10,1032,110,t,2026-02-13 02:28:36.182785,
11,1033,110,t,2026-02-13 02:28:36.182785,
12,1034,110,t,2026-02-13 02:29:14.005258,
13,1051,100,t,2026-02-17 00:03:01.059106,
14,1052,100,t,2026-02-17 00:03:01.059106,
15,1053,114,t,2026-02-17 12:59:35.284556,
16,1054,114,t,2026-02-17 12:59:35.284556,
17,1055,114,t,2026-02-17 13:00:02.853299,
18,1060,100,t,2026-02-17 19:34:03.356958,
19,1064,117,t,2026-02-23 20:51:55.832321,
20,1065,117,t,2026-02-23 20:51:55.832321,
21,1069,100,t,2026-02-24 00:31:53.661362,
22,1071,100,t,2026-02-25 22:33:01.882969,
23,1073,121,t,2026-02-27 12:32:02.988964,
24,1074,121,t,2026-02-27 12:32:02.988964,
25,1075,121,t,2026-02-27 12:32:02.988964,
26,1082,125,t,2026-03-03 13:21:54.4243,
27,1083,127,t,2026-03-03 14:10:22.340406,
28,1084,127,t,2026-03-03 14:10:22.340406,
29,1116,130,t,2026-03-16 19:32:27.249605,
30,1117,130,t,2026-03-16 19:32:27.249605,
31,1118,130,t,2026-03-16 19:32:27.249605,
32,1119,130,t,2026-03-16 19:32:27.249605,
33,1120,130,t,2026-03-16 19:32:27.249605,
34,1121,130,t,2026-03-16 19:32:27.249605,
35,1122,130,t,2026-03-16 19:32:27.249605,
36,1123,130,t,2026-03-16 19:32:27.249605,
37,1124,130,t,2026-03-16 19:32:27.249605,
38,1125,130,t,2026-03-16 19:32:27.249605,
39,1126,130,t,2026-03-16 19:32:27.249605,
40,1127,130,t,2026-03-16 19:32:27.249605,
41,1128,130,t,2026-03-16 19:32:27.249605,
42,1129,130,t,2026-03-16 19:32:27.249605,
43,1130,130,t,2026-03-16 19:32:27.249605,
44,1131,130,t,2026-03-16 19:32:27.249605,
45,1132,130,t,2026-03-16 19:32:27.249605,
46,1133,130,t,2026-03-16 19:32:27.249605,
47,1134,130,t,2026-03-16 19:32:27.249605,
48,1135,130,t,2026-03-16 19:32:27.249605,
49,1137,130,t,2026-03-24 10:19:57.935544,
50,1139,130,t,2026-03-25 12:31:39.998811,
51,1145,133,t,2026-03-31 19:45:08.604771,
