id,avaliacao_id,grupo,dominio,score,categoria,criado_em
92,10013,2,Organiza├º├úo e Conte├║do do Trabalho,75.00,alto,2026-02-11 01:12:17.053789
93,10013,3,Rela├º├Áes Sociais e Lideran├ºa,75.00,alto,2026-02-11 01:12:17.053789
94,10013,4,Interface Trabalho-Indiv├¡duo,68.75,alto,2026-02-11 01:12:17.053789
95,10013,5,Valores Organizacionais,33.33,medio,2026-02-11 01:12:17.053789
96,10013,6,Tra├ºos de Personalidade,75.00,alto,2026-02-11 01:12:17.053789
97,10013,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-11 01:12:17.053789
98,10013,8,Comportamentos Ofensivos,50.00,medio,2026-02-11 01:12:17.053789
99,10013,9,Comportamento de Jogo,68.75,alto,2026-02-11 01:12:17.053789
100,10013,10,Endividamento Financeiro,25.00,baixo,2026-02-11 01:12:17.053789
101,10012,1,Demandas no Trabalho,68.75,alto,2026-02-11 01:14:43.757296
102,10012,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-11 01:14:43.757296
103,10012,3,Rela├º├Áes Sociais e Lideran├ºa,79.17,alto,2026-02-11 01:14:43.757296
104,10012,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-11 01:14:43.757296
105,10012,5,Valores Organizacionais,50.00,medio,2026-02-11 01:14:43.757296
106,10012,6,Tra├ºos de Personalidade,37.50,medio,2026-02-11 01:14:43.757296
107,10012,7,Sa├║de e Bem-Estar,58.33,medio,2026-02-11 01:14:43.757296
108,10012,8,Comportamentos Ofensivos,50.00,medio,2026-02-11 01:14:43.757296
109,10012,9,Comportamento de Jogo,62.50,medio,2026-02-11 01:14:43.757296
110,10012,10,Endividamento Financeiro,68.75,alto,2026-02-11 01:14:43.757296
111,10014,1,Demandas no Trabalho,56.25,medio,2026-02-11 01:57:55.987926
112,10014,2,Organiza├º├úo e Conte├║do do Trabalho,50.00,medio,2026-02-11 01:57:55.987926
113,10014,3,Rela├º├Áes Sociais e Lideran├ºa,66.67,alto,2026-02-11 01:57:55.987926
114,10014,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-11 01:57:55.987926
115,10014,5,Valores Organizacionais,75.00,alto,2026-02-11 01:57:55.987926
116,10014,6,Tra├ºos de Personalidade,87.50,alto,2026-02-11 01:57:55.987926
117,10014,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-11 01:57:55.987926
118,10014,8,Comportamentos Ofensivos,50.00,medio,2026-02-11 01:57:55.987926
119,10014,9,Comportamento de Jogo,75.00,alto,2026-02-11 01:57:55.987926
120,10014,10,Endividamento Financeiro,56.25,medio,2026-02-11 01:57:55.987926
121,10015,1,Demandas no Trabalho,50.00,medio,2026-02-11 02:01:46.606336
122,10015,2,Organiza├º├úo e Conte├║do do Trabalho,62.50,medio,2026-02-11 02:01:46.606336
123,10015,3,Rela├º├Áes Sociais e Lideran├ºa,58.33,medio,2026-02-11 02:01:46.606336
124,10015,4,Interface Trabalho-Indiv├¡duo,50.00,medio,2026-02-11 02:01:46.606336
125,10015,5,Valores Organizacionais,75.00,alto,2026-02-11 02:01:46.606336
126,10015,6,Tra├ºos de Personalidade,62.50,medio,2026-02-11 02:01:46.606336
127,10015,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-11 02:01:46.606336
128,10015,8,Comportamentos Ofensivos,75.00,alto,2026-02-11 02:01:46.606336
129,10015,9,Comportamento de Jogo,62.50,medio,2026-02-11 02:01:46.606336
130,10015,10,Endividamento Financeiro,68.75,alto,2026-02-11 02:01:46.606336
131,10017,1,Demandas no Trabalho,56.25,medio,2026-02-12 12:30:53.219351
132,10017,2,Organiza├º├úo e Conte├║do do Trabalho,37.50,medio,2026-02-12 12:30:53.219351
133,10017,3,Rela├º├Áes Sociais e Lideran├ºa,58.33,medio,2026-02-12 12:30:53.219351
134,10017,4,Interface Trabalho-Indiv├¡duo,56.25,medio,2026-02-12 12:30:53.219351
135,10017,5,Valores Organizacionais,100.00,alto,2026-02-12 12:30:53.219351
136,10017,6,Tra├ºos de Personalidade,75.00,alto,2026-02-12 12:30:53.219351
137,10017,7,Sa├║de e Bem-Estar,16.67,baixo,2026-02-12 12:30:53.219351
138,10017,8,Comportamentos Ofensivos,25.00,baixo,2026-02-12 12:30:53.219351
139,10017,9,Comportamento de Jogo,50.00,medio,2026-02-12 12:30:53.219351
140,10017,10,Endividamento Financeiro,50.00,medio,2026-02-12 12:30:53.219351
141,10016,1,Demandas no Trabalho,81.25,alto,2026-02-12 12:31:15.029557
142,10016,2,Organiza├º├úo e Conte├║do do Trabalho,75.00,alto,2026-02-12 12:31:15.029557
143,10016,3,Rela├º├Áes Sociais e Lideran├ºa,83.33,alto,2026-02-12 12:31:15.029557
144,10016,4,Interface Trabalho-Indiv├¡duo,93.75,alto,2026-02-12 12:31:15.029557
145,10016,5,Valores Organizacionais,91.67,alto,2026-02-12 12:31:15.029557
146,10016,6,Tra├ºos de Personalidade,75.00,alto,2026-02-12 12:31:15.029557
147,10016,7,Sa├║de e Bem-Estar,100.00,alto,2026-02-12 12:31:15.029557
148,10016,8,Comportamentos Ofensivos,91.67,alto,2026-02-12 12:31:15.029557
149,10016,9,Comportamento de Jogo,93.75,alto,2026-02-12 12:31:15.029557
150,10016,10,Endividamento Financeiro,87.50,alto,2026-02-12 12:31:15.029557
151,10027,1,Demandas no Trabalho,68.75,alto,2026-02-12 23:52:18.708343
152,10027,2,Organiza├º├úo e Conte├║do do Trabalho,56.25,medio,2026-02-12 23:52:18.708343
153,10027,3,Rela├º├Áes Sociais e Lideran├ºa,58.33,medio,2026-02-12 23:52:18.708343
154,10027,4,Interface Trabalho-Indiv├¡duo,62.50,medio,2026-02-12 23:52:18.708343
155,10027,5,Valores Organizacionais,16.67,baixo,2026-02-12 23:52:18.708343
156,10027,6,Tra├ºos de Personalidade,62.50,medio,2026-02-12 23:52:18.708343
157,10027,7,Sa├║de e Bem-Estar,83.33,alto,2026-02-12 23:52:18.708343
158,10027,8,Comportamentos Ofensivos,75.00,alto,2026-02-12 23:52:18.708343
159,10027,9,Comportamento de Jogo,93.75,alto,2026-02-12 23:52:18.708343
160,10027,10,Endividamento Financeiro,56.25,medio,2026-02-12 23:52:18.708343
161,10030,1,Demandas no Trabalho,87.50,alto,2026-02-13 02:39:45.154975
162,10030,2,Organiza├º├úo e Conte├║do do Trabalho,43.75,medio,2026-02-13 02:39:45.154975
163,10030,3,Rela├º├Áes Sociais e Lideran├ºa,45.83,medio,2026-02-13 02:39:45.154975
164,10030,4,Interface Trabalho-Indiv├¡duo,25.00,baixo,2026-02-13 02:39:45.154975
165,10030,5,Valores Organizacionais,33.33,medio,2026-02-13 02:39:45.154975
166,10030,6,Tra├ºos de Personalidade,25.00,baixo,2026-02-13 02:39:45.154975
167,10030,7,Sa├║de e Bem-Estar,58.33,medio,2026-02-13 02:39:45.154975
168,10030,8,Comportamentos Ofensivos,66.67,alto,2026-02-13 02:39:45.154975
169,10030,9,Comportamento de Jogo,87.50,alto,2026-02-13 02:39:45.154975
170,10030,10,Endividamento Financeiro,75.00,alto,2026-02-13 02:39:45.154975
171,10032,1,Demandas no Trabalho,43.75,medio,2026-02-13 02:46:44.678623
172,10032,2,Organiza├º├úo e Conte├║do do Trabalho,43.75,medio,2026-02-13 02:46:44.678623
173,10032,3,Rela├º├Áes Sociais e Lideran├ºa,37.50,medio,2026-02-13 02:46:44.678623
174,10032,4,Interface Trabalho-Indiv├¡duo,62.50,medio,2026-02-13 02:46:44.678623
175,10032,5,Valores Organizacionais,66.67,alto,2026-02-13 02:46:44.678623
176,10032,6,Tra├ºos de Personalidade,87.50,alto,2026-02-13 02:46:44.678623
177,10032,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-13 02:46:44.678623
178,10032,8,Comportamentos Ofensivos,83.33,alto,2026-02-13 02:46:44.678623
179,10032,9,Comportamento de Jogo,68.75,alto,2026-02-13 02:46:44.678623
180,10032,10,Endividamento Financeiro,81.25,alto,2026-02-13 02:46:44.678623
181,10035,1,Demandas no Trabalho,12.50,baixo,2026-02-13 13:01:13.834939
182,10035,2,Organiza├º├úo e Conte├║do do Trabalho,37.50,medio,2026-02-13 13:01:13.834939
183,10035,3,Rela├º├Áes Sociais e Lideran├ºa,37.50,medio,2026-02-13 13:01:13.834939
184,10035,4,Interface Trabalho-Indiv├¡duo,25.00,baixo,2026-02-13 13:01:13.834939
185,10035,5,Valores Organizacionais,8.33,baixo,2026-02-13 13:01:13.834939
186,10035,6,Tra├ºos de Personalidade,25.00,baixo,2026-02-13 13:01:13.834939
187,10035,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-13 13:01:13.834939
188,10035,8,Comportamentos Ofensivos,33.33,medio,2026-02-13 13:01:13.834939
189,10035,9,Comportamento de Jogo,75.00,alto,2026-02-13 13:01:13.834939
190,10035,10,Endividamento Financeiro,75.00,alto,2026-02-13 13:01:13.834939
191,10038,1,Demandas no Trabalho,50.00,medio,2026-02-16 14:36:28.133277
192,10038,2,Organiza├º├úo e Conte├║do do Trabalho,75.00,alto,2026-02-16 14:36:28.133277
193,10038,3,Rela├º├Áes Sociais e Lideran├ºa,66.67,alto,2026-02-16 14:36:28.133277
194,10038,4,Interface Trabalho-Indiv├¡duo,81.25,alto,2026-02-16 14:36:28.133277
195,10038,5,Valores Organizacionais,75.00,alto,2026-02-16 14:36:28.133277
196,10038,6,Tra├ºos de Personalidade,75.00,alto,2026-02-16 14:36:28.133277
197,10038,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-16 14:36:28.133277
198,10038,8,Comportamentos Ofensivos,58.33,medio,2026-02-16 14:36:28.133277
199,10038,9,Comportamento de Jogo,75.00,alto,2026-02-16 14:36:28.133277
200,10038,10,Endividamento Financeiro,81.25,alto,2026-02-16 14:36:28.133277
201,10048,1,Demandas no Trabalho,68.75,alto,2026-02-16 18:38:20.790429
202,10048,2,Organiza├º├úo e Conte├║do do Trabalho,56.25,medio,2026-02-16 18:38:20.790429
203,10048,3,Rela├º├Áes Sociais e Lideran├ºa,62.50,medio,2026-02-16 18:38:20.790429
204,10048,4,Interface Trabalho-Indiv├¡duo,93.75,alto,2026-02-16 18:38:20.790429
205,10048,5,Valores Organizacionais,75.00,alto,2026-02-16 18:38:20.790429
206,10048,6,Tra├ºos de Personalidade,50.00,medio,2026-02-16 18:38:20.790429
207,10048,7,Sa├║de e Bem-Estar,58.33,medio,2026-02-16 18:38:20.790429
208,10048,8,Comportamentos Ofensivos,50.00,medio,2026-02-16 18:38:20.790429
209,10048,9,Comportamento de Jogo,62.50,medio,2026-02-16 18:38:20.790429
210,10048,10,Endividamento Financeiro,81.25,alto,2026-02-16 18:38:20.790429
211,10049,1,Demandas no Trabalho,43.75,medio,2026-02-17 00:44:13.186804
212,10049,2,Organiza├º├úo e Conte├║do do Trabalho,75.00,alto,2026-02-17 00:44:13.186804
213,10049,3,Rela├º├Áes Sociais e Lideran├ºa,41.67,medio,2026-02-17 00:44:13.186804
214,10049,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-17 00:44:13.186804
215,10049,5,Valores Organizacionais,50.00,medio,2026-02-17 00:44:13.186804
216,10049,6,Tra├ºos de Personalidade,62.50,medio,2026-02-17 00:44:13.186804
217,10049,7,Sa├║de e Bem-Estar,83.33,alto,2026-02-17 00:44:13.186804
218,10049,8,Comportamentos Ofensivos,75.00,alto,2026-02-17 00:44:13.186804
219,10049,9,Comportamento de Jogo,81.25,alto,2026-02-17 00:44:13.186804
220,10049,10,Endividamento Financeiro,25.00,baixo,2026-02-17 00:44:13.186804
221,10052,1,Demandas no Trabalho,62.50,medio,2026-02-17 13:08:33.920096
222,10052,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-17 13:08:33.920096
223,10052,3,Rela├º├Áes Sociais e Lideran├ºa,37.50,medio,2026-02-17 13:08:33.920096
224,10052,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-17 13:08:33.920096
225,10052,5,Valores Organizacionais,66.67,alto,2026-02-17 13:08:33.920096
226,10052,6,Tra├ºos de Personalidade,50.00,medio,2026-02-17 13:08:33.920096
227,10052,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-17 13:08:33.920096
228,10052,8,Comportamentos Ofensivos,41.67,medio,2026-02-17 13:08:33.920096
229,10052,9,Comportamento de Jogo,56.25,medio,2026-02-17 13:08:33.920096
230,10052,10,Endividamento Financeiro,43.75,medio,2026-02-17 13:08:33.920096
231,10055,1,Demandas no Trabalho,18.75,baixo,2026-02-17 16:23:21.273647
232,10055,2,Organiza├º├úo e Conte├║do do Trabalho,37.50,medio,2026-02-17 16:23:21.273647
233,10055,3,Rela├º├Áes Sociais e Lideran├ºa,37.50,medio,2026-02-17 16:23:21.273647
234,10055,4,Interface Trabalho-Indiv├¡duo,37.50,medio,2026-02-17 16:23:21.273647
235,10055,5,Valores Organizacionais,25.00,baixo,2026-02-17 16:23:21.273647
236,10055,6,Tra├ºos de Personalidade,37.50,medio,2026-02-17 16:23:21.273647
237,10055,7,Sa├║de e Bem-Estar,41.67,medio,2026-02-17 16:23:21.273647
238,10055,8,Comportamentos Ofensivos,41.67,medio,2026-02-17 16:23:21.273647
239,10055,9,Comportamento de Jogo,37.50,medio,2026-02-17 16:23:21.273647
240,10055,10,Endividamento Financeiro,31.25,baixo,2026-02-17 16:23:21.273647
241,10058,1,Demandas no Trabalho,75.00,alto,2026-02-17 19:32:27.978558
242,10058,2,Organiza├º├úo e Conte├║do do Trabalho,56.25,medio,2026-02-17 19:32:27.978558
243,10058,3,Rela├º├Áes Sociais e Lideran├ºa,79.17,alto,2026-02-17 19:32:27.978558
244,10058,4,Interface Trabalho-Indiv├¡duo,18.75,baixo,2026-02-17 19:32:27.978558
245,10058,5,Valores Organizacionais,33.33,medio,2026-02-17 19:32:27.978558
246,10058,6,Tra├ºos de Personalidade,87.50,alto,2026-02-17 19:32:27.978558
247,10058,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-17 19:32:27.978558
248,10058,8,Comportamentos Ofensivos,75.00,alto,2026-02-17 19:32:27.978558
249,10058,9,Comportamento de Jogo,75.00,alto,2026-02-17 19:32:27.978558
250,10058,10,Endividamento Financeiro,68.75,alto,2026-02-17 19:32:27.978558
251,10061,1,Demandas no Trabalho,75.00,alto,2026-02-17 19:35:15.907672
252,10061,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-17 19:35:15.907672
253,10061,3,Rela├º├Áes Sociais e Lideran├ºa,33.33,medio,2026-02-17 19:35:15.907672
254,10061,4,Interface Trabalho-Indiv├¡duo,87.50,alto,2026-02-17 19:35:15.907672
255,10061,5,Valores Organizacionais,75.00,alto,2026-02-17 19:35:15.907672
256,10061,6,Tra├ºos de Personalidade,62.50,medio,2026-02-17 19:35:15.907672
257,10061,7,Sa├║de e Bem-Estar,83.33,alto,2026-02-17 19:35:15.907672
258,10061,8,Comportamentos Ofensivos,33.33,medio,2026-02-17 19:35:15.907672
259,10061,9,Comportamento de Jogo,75.00,alto,2026-02-17 19:35:15.907672
260,10061,10,Endividamento Financeiro,93.75,alto,2026-02-17 19:35:15.907672
261,10062,1,Demandas no Trabalho,75.00,alto,2026-02-18 02:20:49.848543
262,10062,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-18 02:20:49.848543
263,10062,3,Rela├º├Áes Sociais e Lideran├ºa,83.33,alto,2026-02-18 02:20:49.848543
264,10062,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-18 02:20:49.848543
265,10062,5,Valores Organizacionais,8.33,baixo,2026-02-18 02:20:49.848543
266,10062,6,Tra├ºos de Personalidade,62.50,medio,2026-02-18 02:20:49.848543
267,10062,7,Sa├║de e Bem-Estar,91.67,alto,2026-02-18 02:20:49.848543
268,10062,8,Comportamentos Ofensivos,83.33,alto,2026-02-18 02:20:49.848543
269,10062,9,Comportamento de Jogo,87.50,alto,2026-02-18 02:20:49.848543
270,10062,10,Endividamento Financeiro,93.75,alto,2026-02-18 02:20:49.848543
271,10064,1,Demandas no Trabalho,56.25,medio,2026-02-18 02:40:19.824763
272,10064,2,Organiza├º├úo e Conte├║do do Trabalho,93.75,alto,2026-02-18 02:40:19.824763
273,10064,3,Rela├º├Áes Sociais e Lideran├ºa,91.67,alto,2026-02-18 02:40:19.824763
274,10064,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-18 02:40:19.824763
275,10064,5,Valores Organizacionais,25.00,baixo,2026-02-18 02:40:19.824763
276,10064,6,Tra├ºos de Personalidade,87.50,alto,2026-02-18 02:40:19.824763
277,10064,7,Sa├║de e Bem-Estar,91.67,alto,2026-02-18 02:40:19.824763
278,10064,8,Comportamentos Ofensivos,91.67,alto,2026-02-18 02:40:19.824763
279,10064,9,Comportamento de Jogo,81.25,alto,2026-02-18 02:40:19.824763
280,10064,10,Endividamento Financeiro,100.00,alto,2026-02-18 02:40:19.824763
281,10065,1,Demandas no Trabalho,81.25,alto,2026-02-18 03:05:33.556727
282,10065,2,Organiza├º├úo e Conte├║do do Trabalho,62.50,medio,2026-02-18 03:05:33.556727
283,10065,3,Rela├º├Áes Sociais e Lideran├ºa,16.67,baixo,2026-02-18 03:05:33.556727
284,10065,4,Interface Trabalho-Indiv├¡duo,81.25,alto,2026-02-18 03:05:33.556727
285,10065,5,Valores Organizacionais,66.67,alto,2026-02-18 03:05:33.556727
286,10065,6,Tra├ºos de Personalidade,62.50,medio,2026-02-18 03:05:33.556727
287,10065,7,Sa├║de e Bem-Estar,83.33,alto,2026-02-18 03:05:33.556727
288,10065,8,Comportamentos Ofensivos,91.67,alto,2026-02-18 03:05:33.556727
289,10065,9,Comportamento de Jogo,81.25,alto,2026-02-18 03:05:33.556727
290,10065,10,Endividamento Financeiro,81.25,alto,2026-02-18 03:05:33.556727
291,10066,1,Demandas no Trabalho,62.50,medio,2026-02-18 11:08:27.153951
292,10066,2,Organiza├º├úo e Conte├║do do Trabalho,87.50,alto,2026-02-18 11:08:27.153951
293,10066,3,Rela├º├Áes Sociais e Lideran├ºa,75.00,alto,2026-02-18 11:08:27.153951
294,10066,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-18 11:08:27.153951
295,10066,5,Valores Organizacionais,50.00,medio,2026-02-18 11:08:27.153951
296,10066,6,Tra├ºos de Personalidade,62.50,medio,2026-02-18 11:08:27.153951
297,10066,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-18 11:08:27.153951
298,10066,8,Comportamentos Ofensivos,58.33,medio,2026-02-18 11:08:27.153951
299,10066,9,Comportamento de Jogo,87.50,alto,2026-02-18 11:08:27.153951
300,10066,10,Endividamento Financeiro,62.50,medio,2026-02-18 11:08:27.153951
301,10068,1,Demandas no Trabalho,81.25,alto,2026-02-23 21:10:02.883383
302,10068,2,Organiza├º├úo e Conte├║do do Trabalho,93.75,alto,2026-02-23 21:10:02.883383
303,10068,3,Rela├º├Áes Sociais e Lideran├ºa,75.00,alto,2026-02-23 21:10:02.883383
304,10068,4,Interface Trabalho-Indiv├¡duo,81.25,alto,2026-02-23 21:10:02.883383
305,10068,5,Valores Organizacionais,75.00,alto,2026-02-23 21:10:02.883383
306,10068,6,Tra├ºos de Personalidade,75.00,alto,2026-02-23 21:10:02.883383
307,10068,7,Sa├║de e Bem-Estar,66.67,alto,2026-02-23 21:10:02.883383
308,10068,8,Comportamentos Ofensivos,91.67,alto,2026-02-23 21:10:02.883383
309,10068,9,Comportamento de Jogo,62.50,medio,2026-02-23 21:10:02.883383
310,10068,10,Endividamento Financeiro,75.00,alto,2026-02-23 21:10:02.883383
311,10069,1,Demandas no Trabalho,81.25,alto,2026-02-23 23:15:01.867821
312,10069,2,Organiza├º├úo e Conte├║do do Trabalho,68.75,alto,2026-02-23 23:15:01.867821
313,10069,3,Rela├º├Áes Sociais e Lideran├ºa,62.50,medio,2026-02-23 23:15:01.867821
314,10069,4,Interface Trabalho-Indiv├¡duo,43.75,medio,2026-02-23 23:15:01.867821
315,10069,5,Valores Organizacionais,25.00,baixo,2026-02-23 23:15:01.867821
316,10069,6,Tra├ºos de Personalidade,75.00,alto,2026-02-23 23:15:01.867821
317,10069,7,Sa├║de e Bem-Estar,75.00,alto,2026-02-23 23:15:01.867821
318,10069,8,Comportamentos Ofensivos,75.00,alto,2026-02-23 23:15:01.867821
319,10069,9,Comportamento de Jogo,75.00,alto,2026-02-23 23:15:01.867821
