C:\apps\QWork\components\admin\pagamentos\usePagamentosAdmin.ts: line 246, col 31, Warning - Async arrow function has a complexity of 17. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\clinica\EmpresaFormModal.tsx: line 560, col 1, Warning - File has too many lines (501). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\clinica\EmpresasSection.tsx: line 258, col 31, Warning - Arrow function has too many lines (79). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\emissor\LoteAcoes.tsx: line 173, col 8, Warning - Function 'useLoteAcoes' has too many lines (52). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\DesligarFuncionarioModal.tsx: line 61, col 24, Warning - Async arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionarioRow.tsx: line 104, col 1, Warning - Function 'UltimaAvaliacaoCell' has too many lines (109). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\FuncionarioRow.tsx: line 104, col 1, Warning - Function 'UltimaAvaliacaoCell' has a complexity of 31. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\funcionarios\ImportXlsxModal.tsx: line 72, col 20, Warning - Async arrow function has too many lines (62). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\funcionarios\ImportXlsxModal.tsx: line 72, col 20, Warning - Async arrow function has a complexity of 22. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\importacao\ColumnMapper.tsx: line 168, col 26, Warning - Arrow function has too many lines (71). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FuncionariosTable.tsx: line 138, col 41, Warning - Arrow function has too many lines (190). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\FuncionariosTable.tsx: line 138, col 41, Warning - Arrow function has a complexity of 39. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 131, col 5, Warning - Async arrow function has too many lines (78). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 131, col 5, Warning - Async arrow function has a complexity of 21. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 301, col 43, Warning - Async arrow function has too many lines (55). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\lote\LoteDetailPage.tsx: line 577, col 1, Warning - File has too many lines (1010). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 130, col 24, Warning - Async arrow function has a complexity of 16. Maximum allowed is 15. (complexity)
