          table_name           |                column_name                |          data_type          | is_nullable |                 column_default                  
 funcionarios                  | perfil                                    | character varying           | YES         | 'funcionario'::character varying
 funcionarios                  | ativo                                     | boolean                     | YES         | true
 funcionarios                  | criado_em                                 | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 funcionarios                  | atualizado_em                             | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 funcionarios                  | matricula                                 | character varying           | YES         | 
 funcionarios                  | turno                                     | character varying           | YES         | 
 funcionarios                  | escala                                    | character varying           | YES         | 
 funcionarios                  | nivel_cargo                               | character varying           | YES         | 
 funcionarios                  | ultima_avaliacao_id                       | integer                     | YES         | 
 funcionarios                  | ultima_avaliacao_data_conclusao           | timestamp without time zone | YES         | 
 funcionarios                  | ultima_avaliacao_status                   | character varying           | YES         | 
 funcionarios                  | ultimo_motivo_inativacao                  | text                        | YES         | 
 funcionarios                  | data_ultimo_lote                          | timestamp without time zone | YES         | 
 funcionarios                  | data_nascimento                           | date                        | YES         | 
 funcionarios                  | indice_avaliacao                          | integer                     | NO          | 0
 funcionarios                  | incluido_em                               | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 funcionarios                  | inativado_em                              | timestamp without time zone | YES         | 
 funcionarios                  | inativado_por                             | character varying           | YES         | 
 funcionarios                  | ultimo_lote_codigo                        | character varying           | YES         | 
 funcionarios                  | usuario_tipo                              | USER-DEFINED                | NO          | 
 laudos                        | id                                        | integer                     | NO          | nextval('laudos_id_seq'::regclass)
 laudos                        | lote_id                                   | integer                     | NO          | 
 laudos                        | emissor_cpf                               | character                   | YES         | 
 laudos                        | observacoes                               | text                        | YES         | 
 laudos                        | status                                    | character varying           | YES         | 'emitido'::status_laudo_enum
 laudos                        | criado_em                                 | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 laudos                        | emitido_em                                | timestamp without time zone | YES         | 
 laudos                        | enviado_em                                | timestamp without time zone | YES         | 
 laudos                        | atualizado_em                             | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 laudos                        | job_id                                    | bigint                      | YES         | 
 laudos                        | arquivo_remoto_provider                   | character varying           | YES         | 
 laudos                        | arquivo_remoto_bucket                     | character varying           | YES         | 
 laudos                        | arquivo_remoto_key                        | character varying           | YES         | 
 laudos                        | arquivo_remoto_url                        | text                        | YES         | 
 laudos                        | relatorio_individual                      | bytea                       | YES         | 
 laudos                        | relatorio_lote                            | bytea                       | YES         | 
 laudos                        | hash_relatorio_individual                 | character varying           | YES         | 
 laudos                        | hash_relatorio_lote                       | character varying           | YES         | 
 laudos                        | arquivo_remoto_uploaded_at                | timestamp without time zone | YES         | 
 laudos                        | arquivo_remoto_etag                       | character varying           | YES         | 
 laudos                        | arquivo_remoto_size                       | bigint                      | YES         | 
 laudos                        | hash_pdf                                  | character varying           | YES         | 
 laudos                        | relatorio_setor                           | bytea                       | YES         | 
 laudos                        | hash_relatorio_setor                      | character varying           | YES         | 
 leads_representante           | id                                        | integer                     | NO          | nextval('leads_representante_id_seq'::regclass)
 leads_representante           | representante_id                          | integer                     | NO          | 
 leads_representante           | cnpj                                      | character                   | NO          | 
 leads_representante           | razao_social                              | character varying           | YES         | 
 leads_representante           | contato_nome                              | character varying           | YES         | 
 leads_representante           | contato_email                             | character varying           | YES         | 
 leads_representante           | contato_telefone                          | character varying           | YES         | 
 leads_representante           | criado_em                                 | timestamp with time zone    | NO          | now()
 leads_representante           | data_expiracao                            | timestamp with time zone    | NO          | (now() + '90 days'::interval)
 leads_representante           | status                                    | USER-DEFINED                | NO          | 'pendente'::status_lead
 leads_representante           | tipo_conversao                            | USER-DEFINED                | YES         | 
 leads_representante           | entidade_id                               | integer                     | YES         | 
 leads_representante           | data_conversao                            | timestamp with time zone    | YES         | 
 leads_representante           | token_atual                               | character varying           | YES         | 
 leads_representante           | token_gerado_em                           | timestamp with time zone    | YES         | 
 leads_representante           | token_expiracao                           | timestamp with time zone    | YES         | 
 leads_representante           | atualizado_em                             | timestamp with time zone    | NO          | now()
 leads_representante           | valor_negociado                           | numeric                     | NO          | 
 leads_representante           | vendedor_id                               | integer                     | YES         | 
 leads_representante           | origem                                    | text                        | NO          | 'representante'::text
